match_id,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
T204710,LSG Vs KKR,KKR,HarshitRana,2,0,27,0,13.5,4,3,2,0,0
T204710,LSG Vs KKR,KKR,AndreRussell,3,0,22,2,7.33,2,0,0,1,0
T204710,LSG Vs KKR,LSG,MohsinKhan,3,1,6,1,2,15,1,0,0,0
T204710,LSG Vs KKR,LSG,DushmanthaChameera,3,0,14,1,4.66,11,2,0,0,0
T204710,LSG Vs KKR,LSG,AveshKhan,3,1,19,3,6.33,11,1,1,2,0
T204710,LSG Vs KKR,LSG,JasonHolder,2.3,0,31,3,12.4,4,1,3,0,0
T204710,LSG Vs KKR,LSG,RaviBishnoi,3,0,30,1,10,8,3,2,0,0
T201231,PK Vs RR,RR,TrentBoult,4,1,36,0,9,10,5,1,1,0
T201231,PK Vs RR,RR,PrasidhKrishna,4,0,48,1,12,6,7,1,2,1
T201231,PK Vs RR,RR,KuldeepSen,4,0,42,0,10.5,9,5,2,2,0
T201231,PK Vs RR,RR,RavichandranAshwin,4,0,32,1,8,8,3,1,1,0
T201231,PK Vs RR,RR,YuzvendraChahal,4,0,28,3,7,10,0,2,4,0
T201231,PK Vs RR,PK,SandeepSharma,4,0,41,0,10.25,10,7,1,1,0
T201231,PK Vs RR,PK,KagisoRabada,4,0,50,1,12.5,7,7,2,1,0
T201231,PK Vs RR,PK,ArshdeepSingh,4,0,29,2,7.25,8,4,0,1,0
T201231,PK Vs RR,PK,RishiDhawan,3,0,25,1,8.33,5,4,0,0,0
T201231,PK Vs RR,PK,RahulChahar,3.4,0,39,0,10.63,5,2,2,2,0
T201231,PK Vs RR,PK,LiamLivingstone,1,0,6,0,6,1,0,0,1,0
T201720,MI Vs GT,GT,MohammedShami,4,0,42,0,10.5,8,2,3,2,0
T201720,MI Vs GT,GT,AlzarriJoseph,4,0,41,1,10.25,9,5,2,0,0
T201720,MI Vs GT,GT,RashidKhan,4,0,24,2,6,10,2,0,0,0
T201720,MI Vs GT,GT,LockieFerguson,4,0,34,1,8.5,12,3,2,0,1
T201720,MI Vs GT,GT,PradeepSangwan,3,0,23,1,7.66,6,2,0,2,0
T201720,MI Vs GT,GT,RahulTewatia,1,0,11,0,11,0,0,1,0,0
T201720,MI Vs GT,MI,DanielSams,3,0,18,0,6,9,3,0,0,0
T201720,MI Vs GT,MI,JaspritBumrah,4,0,48,0,12,7,5,3,0,0
T201720,MI Vs GT,MI,MuruganAshwin,4,0,29,2,7.25,8,2,1,0,0
T201720,MI Vs GT,MI,RileyMeredith,4,0,32,0,8,9,5,0,1,0
T201720,MI Vs GT,MI,KumarKartikeya,3,0,29,0,9.66,4,3,1,0,0
T201720,MI Vs GT,MI,KieronPollard,2,0,13,1,6.5,4,0,1,0,0
T201248,DC Vs SRH,SRH,BhuvneshwarKumar,4,1,25,1,6.25,14,3,1,0,0
T201248,DC Vs SRH,SRH,SeanAbbott,4,0,47,1,11.75,7,5,2,3,0
T201248,DC Vs SRH,SRH,UmranMalik,4,0,52,0,13,9,6,2,2,0
T201248,DC Vs SRH,SRH,KartikTyagi,4,0,37,0,9.25,10,3,2,1,1
T201248,DC Vs SRH,SRH,ShreyasGopal,3,0,34,1,11.33,7,1,4,0,0
